source,encounter_id,photo_id,image_path,image_url,page_url,observed_at,observer,latitude,longitude,location_source,locality,license,quality_grade
inat,inat_187691960,328295201,data/sources/inat/images/187691960/328295201.jpg,https://static.inaturalist.org/photos/328295201/original.jpg,https://www.inaturalist.org/observations/187691960,2023-08-01T07:58:00-04:00,Rachel Kolokoff Hopper,-17.2321611237,-56.6402835724,inat,Brazil,cc-by-nc,research
inat,inat_187731212,328375511,data/sources/inat/images/187731212/328375511.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/328375511/original.jpeg,https://www.inaturalist.org/observations/187731212,2023-09-29T12:04:05-05:00,Luis Fernando Tonato,-1.4997294029,-75.6791428251,inat,Ecuador,cc-by-nc-nd,research
inat,inat_188278618,329482550,data/sources/inat/images/188278618/329482550.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/329482550/original.jpg,https://www.inaturalist.org/observations/188278618,2023-10-20T09:52:41-04:00,Glenn Barrett,-17.2217735954,-56.7696663732,inat,Brazil,cc-by-nc,research
inat,inat_188278618,330186921,data/sources/inat/images/188278618/330186921.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/330186921/original.jpg,https://www.inaturalist.org/observations/188278618,2023-10-20T09:52:41-04:00,Glenn Barrett,-17.2217735954,-56.7696663732,inat,Brazil,cc-by-nc,research
inat,inat_188278618,330186938,data/sources/inat/images/188278618/330186938.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/330186938/original.jpg,https://www.inaturalist.org/observations/188278618,2023-10-20T09:52:41-04:00,Glenn Barrett,-17.2217735954,-56.7696663732,inat,Brazil,cc-by-nc,research
inat,inat_188417008,329766476,data/sources/inat/images/188417008/329766476.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/329766476/original.jpg,https://www.inaturalist.org/observations/188417008,2023-10-21T08:42:35-04:00,Glenn Barrett,-17.37086726,-56.9181951764,inat,"Poconé, BR-MT, BR",cc-by-nc,research
inat,inat_188615279,330173393,data/sources/inat/images/188615279/330173393.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/330173393/original.jpeg,https://www.inaturalist.org/observations/188615279,2023-06-17T07:40:00-04:00,jasonlightnin,-17.200655809,-56.600091315,inat,"Poconé, BR-MT, BR",cc-by-nc,research
inat,inat_188901780,330762765,data/sources/inat/images/188901780/330762765.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/330762765/original.jpg,https://www.inaturalist.org/observations/188901780,2008-11-07T17:47:00-03:00,Burak Doğansoysal,-17.7649085586,-57.3563592571,inat,"Mato Grosso, BR",cc-by-nc,research
inat,inat_189012598,342892130,data/sources/inat/images/189012598/342892130.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/342892130/original.jpeg,https://www.inaturalist.org/observations/189012598,2023-10-26T08:19:58-05:00,Tommy Andriollo,-0.7060483702,-76.0000455899,inat,"Orellana, EC",cc-by,research
inat,inat_189012598,342892496,data/sources/inat/images/189012598/342892496.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/342892496/original.jpeg,https://www.inaturalist.org/observations/189012598,2023-10-26T08:19:58-05:00,Tommy Andriollo,-0.7060483702,-76.0000455899,inat,"Orellana, EC",cc-by,research
inat,inat_189054760,331068523,data/sources/inat/images/189054760/331068523.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/331068523/original.jpg,https://www.inaturalist.org/observations/189054760,2023-09-20T15:03:10-04:00,nekiaw,33.6068265982,-84.4126703265,inat,"Fulton County, US-GA, US",cc-by-nc,casual
inat,inat_189122902,331210455,data/sources/inat/images/189122902/331210455.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/331210455/original.jpg,https://www.inaturalist.org/observations/189122902,2017-09-09T16:07:00-04:00,Royle Safaris,-17.3208776433,-56.6966905048,inat,"Poconé, BR-MT, BR",cc-by-nc,research
inat,inat_189122911,331210456,data/sources/inat/images/189122911/331210456.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/331210456/original.jpg,https://www.inaturalist.org/observations/189122911,2015-09-18T16:07:00-04:00,Royle Safaris,-17.395644444,-56.6361420593,inat,"Poconé, BR-MT, BR",cc-by-nc,research
inat,inat_189122928,331210457,data/sources/inat/images/189122928/331210457.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/331210457/original.jpg,https://www.inaturalist.org/observations/189122928,2018-09-21T16:07:00-04:00,Royle Safaris,-17.3946595356,-56.6236625048,inat,"Poconé, BR-MT, BR",cc-by-nc,research
inat,inat_189122928,331210463,data/sources/inat/images/189122928/331210463.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/331210463/original.jpg,https://www.inaturalist.org/observations/189122928,2018-09-21T16:07:00-04:00,Royle Safaris,-17.3946595356,-56.6236625048,inat,"Poconé, BR-MT, BR",cc-by-nc,research
inat,inat_189122930,331210464,data/sources/inat/images/189122930/331210464.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/331210464/original.jpg,https://www.inaturalist.org/observations/189122930,2019-09-18T16:07:00-04:00,Royle Safaris,-17.2067685627,-56.6622705572,inat,"Poconé, BR-MT, BR",cc-by-nc,research
